Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
93,73,7420,TwnhsE,6,5,1,1,7,1971,1117,3,GasA,Y,980,0,2008,111725.086041619
94,60,10846,1Fam,7,5,1,1,9,2005,384,3,GasA,Y,2794,0,2007,207726.52686845
95,60,21000,1Fam,8,5,1,1,6,1958,874,2,GasA,Y,2057,0,2010,266405.959087418
96,54,16321,1Fam,5,4,2,0,7,2005,1163,2,GasA,Y,2417,0,2009,194462.659466379
97,60,12144,1Fam,4,5,1,0,5,2006,729,4,GasW,Y,1509,0,2006,169309.357946273
98,,10004,1Fam,6,5,2,1,8,1958,1905,3,GasA,Y,1067,0,2007,173531.894933813
99,,1680,1Fam,10,6,1,1,7,2006,1026,4,GasA,Y,1796,0,2009,249047.487781812
100,65,11700,1Fam,5,5,2,1,8,1961,896,3,GasA,Y,1786,0,2010,162405.582721416
101,,8750,TwnhsE,5,5,1,0,9,1930,1617,2,GasA,Y,1150,0,2006,185421.629395725
102,121,4130,1Fam,5,5,2,1,7,1918,1391,3,GasA,Y,1048,0,2007,120540.879921783
103,,10880,Twnhs,5,5,2,1,7,1924,1099,3,GasA,Y,1125,0,2007,139809.706147996
104,56,6853,Duplex,5,5,2,0,6,1972,264,5,GasA,Y,1620,0,2007,171602.479621271
105,74,6911,1Fam,6,5,1,0,7,1961,702,3,GasA,Y,936,0,2009,88366.8414530211
106,52,7018,1Fam,6,5,2,1,9,1998,806,3,GasA,Y,2138,0,2006,183129.270494411
107,60,9158,1Fam,5,3,1,0,6,1968,740,2,GasA,N,2320,0,2007,127141.284988667
108,50,6930,1Fam,6,4,2,1,7,1920,1128,4,GasA,Y,968,0,2010,126065.879510404
109,80,8730,1Fam,4,7,2,1,7,1949,676,2,GasA,Y,1224,0,2009,133194.673048355
110,96,7200,1Fam,8,5,1,1,6,1990,958,3,GasA,Y,1414,0,2008,191063.360137423
111,79,4590,1Fam,6,5,2,0,4,1958,936,3,GasA,Y,1928,0,2007,181059.268600439
112,94,9317,1Fam,9,5,2,0,5,1941,384,2,GasA,Y,1795,0,2009,206268.596315983
113,75,11777,1Fam,5,5,2,1,6,1926,970,3,GasA,Y,1836,0,2006,155755.881644657
114,65,16285,1Fam,6,5,2,0,6,1993,1809,3,GasA,Y,1493,0,2006,214550.145750973
115,53,13005,1Fam,6,8,2,0,5,1965,2078,2,GasA,Y,1301,0,2010,197693.463722982
116,,14200,1Fam,6,5,1,0,7,1967,836,6,GasA,Y,987,0,2009,159033.30897434
117,79,10530,Twnhs,6,6,1,1,6,1940,1490,2,GasA,Y,1382,0,2006,176578.344884885
118,76,13869,2fmCon,7,5,1,1,6,1958,1496,3,GasA,Y,1314,0,2010,169356.427622257
119,,9571,1Fam,6,5,1,0,7,2003,637,4,GasA,Y,1208,0,2006,143367.294463397
120,,14145,1Fam,5,7,1,1,9,2005,644,3,GasA,Y,1928,0,2009,182143.109116741
121,,3922,TwnhsE,7,5,2,1,8,1929,864,2,GasA,Y,1867,0,2006,133071.098460396
122,,8712,1Fam,7,5,2,0,6,1968,1029,3,GasA,Y,864,0,2006,135836.494624085
123,,12438,1Fam,7,6,1,0,7,1978,1158,3,GasA,Y,960,0,2006,139597.243286539
124,82,10800,1Fam,7,5,1,0,6,1936,1195,3,GasA,Y,1040,0,2010,135003.973230802
125,74,8800,1Fam,4,8,1,0,10,1970,901,4,GasA,Y,1226,0,2007,126741.694246605
126,53,12394,1Fam,4,5,1,0,5,1961,1496,1,GasW,Y,1950,0,2008,199917.447224578
127,60,8777,1Fam,7,5,1,0,8,2006,1057,3,GasA,Y,1258,0,2010,141450.261022555
128,60,21453,1Fam,6,5,1,0,6,2004,1024,4,GasA,Y,1717,0,2007,164159.052369557
129,70,14145,1Fam,7,5,2,1,8,2003,1059,3,GasA,Y,1360,0,2008,195825.936692507
130,84,6792,Duplex,7,5,2,1,5,1954,1498,3,GasA,Y,1872,0,2008,118817.618759942
131,100,6204,1Fam,5,5,2,1,6,1920,1686,3,GasA,Y,912,0,2009,133632.051113578
132,,14601,1Fam,5,5,1,0,5,1900,808,2,GasA,Y,1148,0,2008,113918.053542635
133,57,10012,1Fam,8,7,2,0,5,1958,1566,3,GasA,Y,1383,0,2007,242575.502744475
134,67,7750,TwnhsE,9,5,2,0,5,1928,1026,3,GasA,Y,969,0,2007,153669.271876463
135,60,9000,1Fam,6,5,1,0,7,2002,1814,3,GasA,Y,1266,0,2007,186862.7248893
136,78,14762,1Fam,10,7,2,0,6,1954,876,2,GasA,Y,1375,0,2007,256487.178154146
137,82,8500,2fmCon,6,6,2,0,9,1993,804,3,GasA,Y,969,0,2007,150396.862388351
138,45,9375,1Fam,8,7,1,1,7,1936,1362,3,GasA,N,1958,0,2009,277026.962662279
139,61,12464,1Fam,7,5,1,1,4,1961,649,3,GasA,Y,1494,0,2010,175120.923034971
140,,7150,1Fam,7,6,2,0,6,1945,720,2,GasA,Y,1686,0,2006,127693.252057826
141,98,14215,1Fam,6,5,2,1,9,2005,1064,3,GasA,Y,1720,0,2008,194791.572473215
142,149,11143,1Fam,6,5,1,1,5,1963,855,3,GasA,Y,2417,0,2008,181205.127077382
143,44,13869,1Fam,5,5,2,0,7,1930,1572,3,GasA,Y,848,0,2010,129394.064776203
144,,6204,1Fam,5,9,2,1,6,1958,1010,3,GasA,Y,1095,0,2006,143955.962764116
145,87,8400,1Fam,7,8,1,1,12,1999,950,3,GasA,Y,1484,0,2007,219227.623467004
146,60,10171,1Fam,5,6,1,1,5,1918,729,3,GasA,Y,1796,0,2007,148925.52679842
147,60,50271,1Fam,5,6,2,0,8,1968,1063,3,GasA,Y,1710,0,2006,193918.446576953
148,,15138,1Fam,5,5,2,1,7,1965,637,3,GasA,Y,1181,0,2008,113140.518776337
149,92,10134,1Fam,4,7,2,0,9,1975,649,3,GasA,Y,1392,0,2006,111803.091530699
150,55,11075,1Fam,7,5,2,1,5,1978,0,4,GasA,Y,1838,0,2006,198331.948901389
151,59,9600,TwnhsE,9,5,1,1,6,1975,1235,3,GasA,Y,1047,0,2006,204504.53164235
152,50,6240,1Fam,7,5,3,0,9,1980,908,2,GasA,Y,1121,0,2009,140873.83782068
153,59,10000,1Fam,7,5,2,2,5,1984,861,3,GasA,Y,1786,0,2007,209586.302336077
154,,6420,1Fam,7,6,2,0,5,2005,832,3,GasA,Y,1904,0,2009,243316.802558237
155,72,10141,1Fam,6,5,2,1,8,1950,1242,3,GasA,Y,1306,0,2010,178524.379851947
156,67,2887,1Fam,6,5,2,0,4,1960,1242,3,GasA,Y,1786,0,2007,166063.811164293
157,65,6858,1Fam,5,7,2,0,6,1971,1561,3,GasA,Y,864,0,2009,159529.139870025
158,,7200,1Fam,5,5,2,0,6,2005,1370,3,GasA,Y,1436,0,2009,148515.212156969
159,73,14803,1Fam,6,8,1,0,5,1977,1650,3,GasA,Y,2640,0,2007,216824.467277547
160,21,9920,1Fam,5,5,2,0,5,1998,540,3,GasA,Y,1710,0,2006,151047.437159528
161,60,12342,1Fam,6,7,1,0,5,1960,894,3,GasA,Y,969,0,2007,150585.423907943
162,63,12090,1Fam,5,5,2,1,5,2007,1028,6,GasA,Y,1386,0,2010,161138.256425768
163,54,8160,1Fam,5,8,2,0,5,2004,1064,2,GasA,Y,1560,0,2006,188504.848256313
164,65,10382,1Fam,6,5,1,1,8,2002,1142,2,GasA,Y,2417,0,2009,201229.199887336
165,60,7060,1Fam,4,5,2,0,5,1955,825,3,GasA,N,1052,0,2008,109697.804300695
166,40,9100,1Fam,7,7,1,0,8,1971,1078,3,GasA,Y,875,0,2009,143441.201720451
167,71,14803,1Fam,7,5,2,1,5,2009,892,2,GasA,Y,1126,0,2006,167916.753464873
168,50,11885,1Fam,6,6,1,0,5,2007,1350,3,GasA,Y,2794,0,2009,266607.594980783
169,82,10762,1Fam,6,5,1,1,6,1936,864,2,GasA,N,1717,0,2007,124139.179758304
170,,10655,1Fam,8,5,0,1,7,2005,2136,2,GasA,Y,1750,0,2008,324051.276813278
171,70,7945,Twnhs,7,5,1,0,8,1959,1134,3,GasA,Y,1728,0,2007,165099.046152234
172,63,8544,1Fam,7,5,1,1,5,1999,2223,2,GasA,Y,1148,0,2009,218926.048435218
173,32,8973,1Fam,5,7,2,1,8,1982,0,3,GasA,Y,1668,0,2008,149690.982827643
174,94,5330,1Fam,8,6,2,1,5,1963,1257,2,GasA,N,1473,0,2009,192230.670414253
175,60,10364,TwnhsE,6,3,2,1,6,1996,747,2,GasA,Y,1640,0,2009,194570.118802934
176,61,6420,1Fam,4,7,2,0,7,1966,1392,3,GasA,Y,1456,0,2006,170392.928902883
177,57,13560,1Fam,4,5,2,1,7,1880,2046,3,GasA,Y,1704,0,2010,179201.040456678
178,75,7301,1Fam,8,7,2,0,6,2008,1554,2,GasA,Y,1761,0,2007,327716.390204288
179,52,3182,1Fam,10,5,1,0,5,2005,1273,2,GasA,Y,1826,0,2008,300229.102111327
180,68,8712,1Fam,5,7,1,1,8,2000,802,4,GasA,Y,1208,0,2009,135075.788747065
181,,17043,2fmCon,6,5,1,0,6,2000,955,4,GasA,Y,1486,0,2006,158889.224718027
182,95,5500,TwnhsE,7,5,1,1,7,1910,637,3,GasA,N,2610,0,2008,221242.645763775
183,85,6000,1Fam,5,7,2,0,8,2007,654,4,GasA,Y,845,0,2010,114814.264735591
184,,9000,1Fam,6,7,2,0,6,1956,848,3,GasA,Y,1026,0,2007,136341.698892045
185,80,53107,1Fam,6,4,2,1,11,1999,1248,3,GasA,Y,864,0,2008,169322.954119151
186,88,1680,1Fam,7,5,1,0,7,1898,840,2,GasA,Y,2028,0,2007,151533.385903299
187,,8963,Duplex,7,7,2,1,4,1954,893,3,GasA,Y,1121,0,2008,158790.558258903
188,73,7200,1Fam,6,6,2,0,6,1966,793,4,GasA,Y,1888,0,2009,160086.529328838
189,55,14536,1Fam,4,5,1,1,8,1950,940,3,GasA,Y,2019,0,2006,160515.619475471
190,,10650,TwnhsE,5,5,2,1,6,1997,1196,3,GasA,Y,1004,0,2009,153741.409164645
191,77,9600,1Fam,7,5,2,1,5,1941,912,3,GasA,Y,1362,0,2009,178876.17468062
192,130,10500,2fmCon,6,6,1,1,4,2002,1281,3,GasA,Y,2519,0,2008,220789.931162582
193,74,10793,1Fam,5,6,1,0,11,2009,723,3,GasA,Y,965,0,2007,123665.832813552
194,66,10918,1Fam,8,6,2,0,4,1954,1095,2,GasA,Y,1717,0,2007,200088.996209152
195,60,7200,1Fam,6,5,1,0,5,2004,0,4,GasA,Y,900,0,2006,159535.80128989
196,44,10594,1Fam,5,5,1,2,6,1979,1039,4,GasA,Y,1924,0,2010,167793.862158299
197,94,10918,1Fam,5,5,2,1,7,2003,1208,3,GasA,Y,1336,0,2006,152742.181933079
198,78,14803,TwnhsE,5,6,2,1,8,1977,1040,4,GasA,Y,1792,0,2008,181141.909275196
199,88,11600,TwnhsE,5,5,0,0,6,1971,0,3,GasA,Y,969,0,2006,85967.7654875458
200,65,4435,1Fam,6,1,2,1,7,1960,768,3,GasA,Y,1632,0,2007,126097.381634904
201,,13474,1Fam,7,5,1,1,12,1945,1496,3,GasA,Y,1949,0,2009,243453.726471292
202,81,7153,1Fam,8,3,2,0,7,1910,684,3,GasA,Y,1131,0,2010,142360.309473748
203,70,7862,1Fam,7,5,1,0,7,1915,1350,3,GasA,Y,1056,0,2007,121349.198086398
204,80,8471,1Fam,3,7,2,0,5,1925,936,3,GasA,Y,1327,0,2006,130277.955814507
205,,3604,1Fam,7,5,2,0,8,2007,912,3,GasA,Y,1555,0,2006,163721.72538787
206,80,11050,1Fam,4,5,1,0,4,2008,1568,3,GasA,Y,1092,0,2006,192525.147509474
207,60,4043,1Fam,6,7,1,1,5,2004,689,2,GasA,Y,1406,0,2009,148966.891517137
208,120,10240,1Fam,5,6,2,0,5,1999,1041,2,GasA,Y,2473,0,2009,181583.086402927
209,65,7200,1Fam,4,5,2,0,8,1976,840,2,GasA,Y,796,0,2006,122437.570333006
210,24,9452,1Fam,6,5,1,1,6,2000,816,3,GasA,Y,1040,0,2006,156432.933249223
211,,12243,1Fam,8,5,2,1,6,1964,1698,3,GasA,Y,987,0,2006,203736.196364809
212,121,8163,TwnhsE,7,6,2,0,5,1958,768,4,GasA,Y,1494,0,2007,141390.914166778
213,71,4500,1Fam,5,8,1,1,6,2008,1249,1,GasA,N,2452,0,2008,208035.18287114
214,,21872,1Fam,7,5,2,0,7,2003,1064,3,GasA,Y,1602,0,2007,210698.071122088
215,50,10832,1Fam,8,5,2,1,9,1954,828,5,GasA,Y,1200,0,2006,171946.967402805
216,84,8176,1Fam,5,5,2,0,5,1978,1152,3,GasA,Y,1639,0,2007,154689.789290674
217,49,7200,1Fam,6,5,2,0,9,1992,980,3,GasA,Y,965,0,2009,145086.300300397
218,,2308,1Fam,7,6,1,0,10,2008,1370,3,GasA,Y,1077,0,2010,180266.197210591
219,75,14000,1Fam,6,4,2,1,9,2004,930,1,GasA,Y,1383,0,2007,174073.322857018
220,50,9786,1Fam,8,5,2,0,6,1994,1097,3,GasA,Y,2822,0,2008,302282.027135548
221,68,5500,1Fam,7,8,1,1,6,1955,1032,2,GasA,Y,2296,0,2009,181307.116513188
222,52,4928,1Fam,5,5,2,0,4,1977,0,4,GasA,N,1308,0,2009,127059.53422553
223,85,9855,1Fam,5,5,2,0,8,2006,1347,3,GasA,Y,2402,0,2007,265572.787867753
224,91,11844,1Fam,7,6,2,1,9,1992,983,4,GasA,Y,1776,0,2007,211106.459939857
225,70,7658,1Fam,7,6,1,0,6,2000,1143,2,GasA,Y,1509,0,2007,214164.094764419
226,76,11900,1Fam,7,5,1,0,5,1972,1473,3,GasA,Y,864,0,2009,115640.315633104
227,78,7922,1Fam,4,8,2,1,8,2004,1604,3,GasA,Y,2519,0,2006,226039.7779014
228,,10395,1Fam,6,5,0,0,5,1930,1073,2,GasA,Y,884,0,2009,93258.8178209751
229,,9206,1Fam,7,9,1,0,12,1998,780,2,GasA,Y,1818,0,2007,180939.926018695
230,,12003,1Fam,4,5,1,1,5,1989,910,2,GasA,Y,2654,0,2009,188661.316008473
231,,17600,1Fam,7,8,2,0,8,1988,1304,1,GasA,Y,2084,0,2009,235726.091912563
232,50,10335,1Fam,5,6,1,1,12,2000,928,3,GasA,Y,2727,0,2009,209819.833311347
233,65,6000,1Fam,5,5,0,0,5,2001,1563,2,GasA,Y,2046,0,2006,203537.613333435
234,70,10289,1Fam,7,7,1,0,6,2006,1302,3,GasA,Y,1437,0,2009,194503.607512283
235,,6240,TwnhsE,4,5,2,1,4,2007,698,3,GasA,Y,2295,0,2009,159111.942257718
236,,15593,Duplex,5,7,2,1,5,2003,1494,3,GasA,Y,1062,0,2009,179196.362240514
237,45,10637,1Fam,4,7,1,1,9,1915,1370,3,GasA,Y,1470,0,2010,117697.753640878
238,48,8064,1Fam,7,6,2,1,6,1998,1145,2,GasA,Y,1268,0,2010,202646.640062337
239,,8520,1Fam,5,5,1,0,7,2004,846,2,GasA,N,1776,0,2009,173838.199589812
240,,13400,TwnhsE,6,6,3,1,6,1994,990,3,GasA,Y,1414,0,2007,212167.800020011
241,60,9100,1Fam,6,5,2,1,6,2005,963,3,GasA,Y,958,0,2007,168156.141671035
242,24,10800,1Fam,5,6,1,1,6,1930,1501,4,GasA,Y,987,0,2009,106088.839063198
243,63,11838,1Fam,7,5,3,1,6,1974,1156,2,GasA,Y,1895,0,2007,212115.764437722
244,75,4500,1Fam,7,5,2,0,6,1972,1062,4,GasA,Y,816,0,2008,156461.297044642
245,80,7388,1Fam,5,5,2,1,5,2002,1541,3,GasA,Y,334,0,2006,158045.560077438
246,50,10708,1Fam,7,6,2,1,5,2002,1107,1,GasA,Y,2468,0,2006,306447.946799788
247,,9000,1Fam,5,5,2,1,4,2005,2035,2,GasA,Y,1128,0,2009,165980.076671563
248,60,8820,1Fam,7,8,1,0,10,2005,1517,4,GasA,Y,1472,0,2007,239855.973554632
249,,7820,1Fam,6,5,2,0,7,2006,1041,4,GasA,Y,1297,0,2006,195000.455167896
250,93,9245,2fmCon,6,7,1,0,6,1941,808,3,GasA,Y,1573,0,2008,108043.293516388
251,63,12822,1Fam,9,6,1,1,5,1925,768,4,GasA,N,1362,0,2009,231946.008525929
252,21,10655,1Fam,4,5,2,0,5,2001,1196,3,GasA,Y,1111,0,2006,161037.831291833
253,98,4058,1Fam,7,5,1,0,11,1999,2078,2,GasA,Y,1314,0,2009,219787.851838134
254,95,9313,1Fam,7,5,2,1,4,1953,991,3,GasA,Y,2392,0,2009,252666.986162279
255,24,9600,1Fam,7,7,2,1,5,1965,928,3,GasA,Y,1336,0,2010,155384.751755361
256,60,6292,1Fam,6,5,2,1,7,2000,1500,3,GasA,Y,1198,0,2006,186980.64493907
257,69,4435,1Fam,5,6,2,0,7,2000,1392,2,GasA,Y,1768,0,2008,201113.880489119
258,82,11409,1Fam,7,8,1,0,5,2003,1237,3,GasA,Y,1440,0,2008,160172.126242964
259,72,5900,1Fam,6,8,1,1,7,1961,1649,3,GasA,Y,1328,0,2008,148532.598106731
260,80,11249,2fmCon,5,7,2,0,7,1957,960,3,GasA,Y,1097,0,2006,151462.617377063
261,85,12552,1Fam,5,6,2,0,8,1952,780,3,GasA,Y,2153,0,2009,178489.18573238
262,80,14585,1Fam,7,6,2,0,7,1927,1050,3,GasA,Y,848,0,2010,144731.296743486
263,68,7018,1Fam,6,5,1,0,6,1910,1752,3,GasA,Y,1376,0,2009,147359.100968669
264,60,9375,1Fam,4,6,2,0,5,1999,768,3,GasA,Y,1113,0,2007,167774.898206171
265,149,12220,1Fam,4,5,1,0,6,1936,900,4,GasA,N,1646,0,2006,112538.996555764
266,61,9590,1Fam,6,5,2,1,10,1961,625,3,GasA,Y,1406,0,2009,151244.847673803
267,51,9196,TwnhsE,6,5,1,0,6,2009,1494,1,GasA,Y,2034,0,2006,237297.189909386
268,,8471,Duplex,5,5,2,1,7,1958,840,4,GasA,N,1456,0,2009,133412.746815695
